Entity ID,Entity,Latitude,Longitude,State (US & Canada only),Alt. 1,City,Government Affiliated?,Designer,Developer,Utility,Country of Origin,Technology Type,Funding Amount ($MM USD),Design Count,Source,Projects,Project Source,Additional Funds (USD millions)
16,Brillouin Energy,37.86,-122.30,California,,Berkeley,,Yes,,,United States,Fusion,"7,750,000",1,http://brillouinenergy.com/,,,
15,Boston Atomics,,,,,,,Yes,,,United States,High Temperature Gas-Cooled,"4,900,000",1,https://www.bostonatomics.com/,,,
99,NANO Nuclear Energy,,,,,,No,Yes,,,United States,Microreactor,"4,140,000",1,https://nanonuclearenergy.com/,,,
52,Flibe Energy,32.69,-86.81,Alabama,"Flibe Energy, Inc.",Huntsville,,Yes,,,United States,Molten Salt Reactor,"2,625,500",1,http://flibe-energy.com/,,,
69,HyperJet Fusion,38.88,-77.43,Virginia,,Chantilly,,Yes,,,United States,Fusion,"2,400,000",1,http://hyperjetfusion.com/,,,
66,HolosGen,38.99,-76.97,Maryland,,College Park,,Yes,,,United States,High Temperature Gas-Cooled,"2,300,000",1,http://www.holosgen.com/,,,
26,City Labs,25.77,-80.21,Florida,,Miami,,Yes,,,United States,Nanotritium Battery,"1,700,000",0,http://www.citylabs.net/,,,
68,Horne Technologies,39.96,-105.18,Colorado,,Louisville,,Yes,,,United States,Fusion,"1,600,000",1,https://www.hornetechnologies.com/#top,,,
88,Lightbridge,38.92,-77.23,Virginia,,Tysons Corner,No,Yes,,,United States,Pressurized Water Reactor,"1,277,000",0,http://www.ltbridge.com/,,,
34,Cortex Fusion Systems,,,,,,,,,,United States,Quantum Controlled Fusion,"800,000",0,https://www.cortexfusion.systems/,,,
91,LPPFusion,40.57,-74.50,New Jersey,Lawrenceville Plasma Physics,Middlesex,No,Yes,,,United States,Fusion,"640,000",1,https://lppfusion.com/,,,
42,Elysium Industries,42.80,-73.97,New York,,Schenectady,,Yes,,,United States,Molten Salt Reactor,"500,000",1,http://www.elysiumindustries.com/,,,
154,ThorCon International,45.69,-121.91,Washington,,Stevenson,,,,,United States,Molten Salt Reactor,"400,000",1,http://thorconpower.com/,,,
92,Magneto-Inertial Fusion Technologies,33.73,-117.82,California,,Tustin,,Yes,,,United States,Fusion,"200,000",2,http://www.mifti.com/,,,
62,Helicity Space,37.87,-122.29,California,,Berkeley,,Yes,,,United States,Fusion,"150,000",1,https://www.helicityspace.com/,,,
105,NearStar Fusion,,,,,,,,,,United States,Fusion,"75,000",0,https://www.nearstarfusion.com/,,,
121,Princeton Stellarators,,,,,,,,,,United States,Fusion,0,1,https://www.princetonstellarators.energy/,,,
86,Last Energy,,,,,,,Yes,,,United States,Water-Cooled,0,1,https://www.lastenergy.com/,,,
94,MicroNuclear,35.92,-86.85,Tennessee,,Franklin,No,Yes,,,United States,Microreactor,0,1,https://micronucleartech.com/,,,
45,Energy Matter Conversion Corporation (EMC2),32.72,-117.16,California,,San Diego,,Yes,,,United States,Fusion,0,0,http://www.emc2fusion.org/,,,
177,X-Energy,39.00,-76.89,Maryland,XENERGY,Greenbelt,,No,,,United States,High Temperature Gas-Cooled,0,1,https://www.x-energy.com/,,,25
56,Fusion Energy Solutions of Hawaii,,,,,,,,,,United States,Fusion,0,1,http://www.fusionenergysolutions.net/home.html,,,
202,Electric Fusion Systems,,,,,,,,,,United States,Fusion,0,1,https://electricfusionsystems.com/,,,
5,AGNI Energy,,,,,,,,,,United States,Fusion,0,1,,,,
30,"Comisión Nacional de Energía Atómica (CNEA, Argentina)",-41.15,-71.31,,,Bariloche,,Yes,,,Argentina,Water-Cooled,0,1,https://mi.argentina.gob.ar/,CAREM-25,,
13,Belgian Nuclear Research Centre,,,,,,,Yes,,,Belgium,Lead-Cooled Small Modular Reactor,0,1,https://www.sckcen.be/en,,,
50,Federal University of Rio Grande do Sul (FURGS),,,,,,,,,,Brazil,,0,1,,,,
18,Candu Energy Inc,,,,,,,Yes,,,Canada,"small modular reactors (SMRs), advanced reactors, boiling water reactors (BWRs), advanced gas-cooled reactors (AGRs), and pressurised water reactors (PWRs)",0,1,https://www.snclavalin.com/en/markets-and-services/markets/nuclear,,,
22,China General Nuclear Power Group (CGNPC),,,,,,Yes,Yes,,,China,Water-Cooled,0,2,http://en.cgnp.com.cn/,,,
23,China Institute of Atomic Energy,,,,,,,Yes,,,China,"Zero-power Sub-critical Device, Miniature Neutron Source Reactor, Multi-functional Swimming Pool Type Research Reactor,",0,1,http://en.cgnp.com.cn/,,,
24,China National Nuclear Corporation (CNNC) / Nuclear Power Institute of China (NPIC),19.29,109.06,,,Changjiang,,Yes,,,China,Water-Cooled,0,4,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,
28,CNNC / NPIC,,,,,,,Yes,,,China,Super Critical Water Cooled Reactor,0,0,,,,
72,Institute of Nuclear Energy Safety Technology (INEST),,,,,,,Yes,,,China,"Liquid Metal Reactor, Mini/Small Module Reactor",0,0,,,,
131,"Shanghai Institute of Applied Physics (SINAP), CAS",31.45,121.28,,,Shanghai,,,,,China,Molten Salt Reactor,0,1,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,
132,Shanghai Nuclear Engineering Research and Design Institute (SNERDI) /State Nuclear Power Technology Corporation (SNPTC),31.16,121.40,,,Shanghai,Yes,,,,China,Pressurized Water Reactor,0,0,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,
135,SINAP,31.40,121.29,,,Shanghai,,,,,China,Molten Salt Reactor,0,1,https://www.world-nuclear.org/information-library/nuclear-fuel-cycle/nuclear-power-reactors/small-nuclear-power-reactors.aspx,,,
136,SNERDI,31.17,121.41,,,Shanghai,,,,,China,Pressurized Water Reactor,0,1,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,
140,SPIC,41.95,126.42,,,Baishan,,,,,China,Water-Cooled,0,1,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,
141,SPIC / SNERDI,,,,,,,,,,China,Water-Cooled,0,1,,,,
144,State Nuclear Power Technology Corporation (SNPTC),,,,,,,,,,China,Pressurized Water Reactor,0,0,,,,
162,Tsinghua University Institute of Nuclear and New Energy Technology (INET),,,,,Beijing,,,,,China,High Temperature Gas-Cooled,0,2,,,,
20,Centrum výzkumu Řež,49.74,13.36,,,Tylova,,Yes,,,Czech Republic,Microreactor,0,1,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,
171,UWB Pilsen & CIIRC CTU,49.72,13.35,,,Pilsen,,,,,Czech Republic,Water-Cooled,0,1,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,
48,European Atomic Energy Community (EAEC / Euratom),,,,,,,Yes,,,European Union,Fusion Reactor,0,1,,,,
6,Alternative Energies and Atomic Energy Commission (CEA),,,,,,Yes,Yes,,,France,"Compact Reactor (SMR), Fourth Generation Reactor",0,1,,,,
40,"EDF, CEA, TA, Naval Group",48.69,2.09,,,Gif-sur-Yvette,,Yes,,,France,Small Modular Reactor,0,0,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,
41,Électricité de France (EDF),,,,,,,Yes,,Yes,France,Water-Cooled,0,1,,,,
46,Engie,,,,,,,,Yes,Yes,France,Pressurized Water Reactor,0,0,,,,
98,NAAREA,,,,,,,Yes,,,France,Microreactor,0,1,,,,
160,Tractebel Engie,,,,,,,,,,France,"Fusion, Gen IV, SMR, Research Reactors",0,0,,,,
14,Bhaba Atomic Research Centre (BARC),19.04,72.91,,,Mumbai,Yes,Yes,,,India,"Advanced Heavy Water Reactor, Molten Salt Breeder Reactor, Innovative High Temperature Reactor",0,1,https://aris.iaea.org/PDF/AHWR.pdf,,,
71,Indira Gandhi Centre for Atomic Research (IGCAR),,,,,,,Yes,,,India,Sodium Cooled Fast Breeder Reactor,0,2,,,,
